stand_id,h_max,h_mean,h_std,h_p25,h_p50,h_p75,h_p95,cover_fraction,n_veg_pts
HY_SPRUCE1,33.66899108886719,16.13037872314453,6.675023078918457,12.183990478515625,17.267990112304688,20.993988037109375,25.511001586914062,0.9541405712756089,732607
HY_SPRUCE2,45.10400390625,20.5833740234375,10.279302597045898,11.639999389648438,22.527999877929688,29.113998413085938,34.72900390625,0.9634736572109687,1125161
HY_SPRUCE3,31.15399169921875,15.384108543395996,5.7764434814453125,12.190994262695312,16.31298828125,19.574996948242188,23.40399169921875,0.9568334849268098,996208
HY_SPRUCE4,30.132003784179688,15.016408920288086,5.941144943237305,12.07000732421875,15.990997314453125,19.222000122070312,23.082000732421875,0.8957114706587308,1066856
HY_SPRUCE5,34.54399108886719,17.17909049987793,6.532697677612305,13.268997192382812,18.0679931640625,22.021987915039062,26.4849853515625,0.957638960558152,1030310
HY_SPRUCE6,30.969009399414062,14.669196128845215,6.510237216949463,11.264999389648438,15.764007568359375,19.385009765625,23.544998168945312,0.885096489430787,1156748
HY_SPRUCE7,43.44834899902344,24.77499771118164,8.608479499816895,20.092361450195312,26.530349731445312,31.021347045898438,36.098358154296875,0.976279178590069,633421
HY_SPRUCE8,32.1409912109375,12.977448463439941,6.661283016204834,8.468994140625,14.179000854492188,18.083999633789062,22.2760009765625,0.7183407904784143,479855
HY_SPRUCE9,34.89799499511719,14.678424835205078,7.378087043762207,10.10198974609375,15.535995483398438,19.972000122070312,25.748001098632812,0.7638930944905733,916729
JS_ALDER1,27.70800018310547,12.832578659057617,4.455467224121094,11.002002716064453,13.995002746582031,15.863998413085938,17.93500518798828,0.9694817166724572,771335
JS_BIRCH1,29.68899917602539,7.22495698928833,5.730607986450195,1.9720001220703125,7.118999481201172,9.939002990722656,20.158000946044922,0.6989736367297441,744312
JS_BIRCH2,33.211002349853516,20.098886489868164,9.19690227508545,19.062000274658203,23.493999481201172,26.137996673583984,28.845996856689453,0.8313602641013809,462366
JS_BIRCH3,27.349002838134766,2.6604599952697754,3.512711763381958,0.7340011596679688,1.8260002136230469,3.3290023803710938,6.194999694824219,0.2561543187537347,262560
JS_MIXED1,20.89200210571289,8.664593696594238,4.491949081420898,4.51300048828125,10.008003234863281,12.15500259399414,14.448001861572266,0.8522498063219314,530668
JS_MIXED2,40.09300231933594,24.55294418334961,9.68681526184082,18.250999450683594,28.446998596191406,31.65899658203125,34.77899932861328,0.9822659018669394,350036
JS_MIXED3,22.62099838256836,8.352330207824707,4.40838623046875,5.982002258300781,9.408000946044922,11.390998840332031,13.775997161865234,0.8392661731573865,689458
JS_MIXED4,28.114002227783203,3.646085739135742,3.362321138381958,0.98699951171875,2.977001190185547,5.472999572753906,8.998001098632812,0.5290898814824964,487589
JS_MIXED5,33.63299560546875,5.498546123504639,6.633986949920654,1.4360008239746094,3.197998046875,5.833000183105469,22.888099670410156,0.5594777579729809,394994
JS_PINE1,29.277999877929688,16.52106285095215,8.820975303649902,11.206001281738281,20.644996643066406,22.82599639892578,24.90599822998047,0.8093762335782599,495855
JS_PINE2,35.743003845214844,23.921367645263672,8.4150972366333,23.378997802734375,26.48999786376953,28.813003540039062,31.561853408813477,0.48326692466502486,351445
JS_SPRUCE1,33.36799621582031,19.086299896240234,6.884593963623047,16.258995056152344,20.71399688720703,23.784996032714844,27.375999450683594,0.9280544074875899,927431
JS_SPRUCE2,33.688995361328125,4.1276373863220215,7.127164363861084,0.5849990844726562,1.6779975891113281,3.173999786376953,24.777000427246094,0.20294883482983203,207575
LZ_ASH1,43.279998779296875,25.055843353271484,11.037739753723145,17.404998779296875,27.539993286132812,34.44499206542969,38.798004150390625,0.9700575189350158,148777
LZ_ASH2,38.701995849609375,22.624725341796875,10.459019660949707,16.50049591064453,26.336990356445312,30.729995727539062,34.266998291015625,0.9057825668516536,220520
LZ_HORNBEAM1,36.75799560546875,20.418781280517578,7.097812175750732,17.529998779296875,22.035003662109375,25.0260009765625,29.445999145507812,0.9789188913276504,163051
LZ_MIXED1,35.87184143066406,18.048851013183594,11.772197723388672,4.046348571777344,21.849853515625,28.363845825195312,32.089149475097656,0.7303880734208485,124604
LZ_MIXED2,39.1033935546875,23.06840705871582,9.265375137329102,18.867385864257812,25.6033935546875,29.976394653320312,33.68339538574219,0.9773892363252004,246901
LZ_MIXED3,39.51300048828125,20.30771827697754,11.038500785827637,10.572998046875,22.287994384765625,29.92999267578125,35.183990478515625,0.9465831067692733,223919
LZ_OAK1,35.78498840332031,13.255940437316895,6.042825222015381,11.766998291015625,14.224990844726562,15.771987915039062,23.767990112304688,0.9781516368776856,130260
LZ_OAK2,20.525009155273438,12.336971282958984,5.237277030944824,11.39801025390625,14.180007934570312,15.736007690429688,17.477996826171875,0.9125787024363536,123815
LZ_OAK3,35.602996826171875,22.820720672607422,8.048884391784668,18.649002075195312,24.880996704101562,28.991989135742188,32.13099670410156,0.9761924566316392,231904
LZ_OAK4,31.409500122070312,14.817193031311035,7.49384069442749,8.807510375976562,17.470504760742188,20.17449951171875,24.357513427734375,0.8717686066258727,135339
